milk is a kind of food  & (S (NP (NN milk)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN food)))))) 
to prevent means to make it not happen  & (S (VP (TO to) (VP (VB prevent) (NP (NP (NNS means)) (SBAR (S (VP (TO to) (VP (VB make) (S (NP (PRP it)) (RB not) (VP (VB happen))))))))))) 
humans changing a meadow causes animal populations to decrease in that meadow  & (S (NP (NP (NNS humans)) (VP (VBG changing) (NP (DT a) (NN meadow)))) (VP (VBZ causes) (S (NP (NN animal) (NNS populations)) (VP (TO to) (VP (VB decrease) (PP (IN in) (NP (DT that) (NN meadow)))))))) 
contracting is a kind of movement  & (S (NP (NN contracting)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN movement)))))) 
the earth contains forests  & (S (NP (DT the) (NN earth)) (VP (VBZ contains) (NP (NNS forests)))) 
coloration is a kind of adaptation for camouflage  & (S (NP (NN coloration)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NP (NN adaptation)) (PP (IN for) (NP (NN camouflage)))))))) 
phase changes are a kind of physical change  & (S (NP (NN phase) (NNS changes)) (VP (VBP are) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ physical) (NN change)))))) 
burning gasoline is a source of heat energy  & (S (S (VP (VBG burning) (NP (NN gasoline)))) (VP (VBZ is) (NP (NP (DT a) (NN source)) (PP (IN of) (NP (NN heat) (NN energy)))))) 
an apple is red in color  & (S (NP (DT an) (NN apple)) (VP (VBZ is) (ADJP (JJ red)) (PP (IN in) (NP (NN color))))) 
earthquakes are more likely to occur in california than in massachusetts  & (S (NP (NNS earthquakes)) (VP (VBP are) (ADJP (RBR more) (JJ likely) (S (VP (TO to) (VP (VB occur) (PP (IN in) (NP (NNP california)))))) (IN than) (PP (IN in) (NP (NNP massachusetts)))))) 
gravity causes the planets in solar system to orbit the sun  & (S (NP (NN gravity)) (VP (VBZ causes) (S (NP (NP (DT the) (NNS planets)) (PP (IN in) (NP (JJ solar) (NN system)))) (VP (TO to) (VP (VB orbit) (NP (DT the) (NN sun))))))) 
fish is usually light in weight  & (S (NP (NN fish)) (VP (VBZ is) (ADVP (RB usually)) (ADJP (JJ light) (PP (IN in) (NP (NN weight)))))) 
a hurricane has high wind speed and large amount of rain  & (S (NP (DT a) (NN hurricane)) (VP (VBZ has) (NP (NP (NP (JJ high) (NN wind) (NN speed)) (CC and) (NP (JJ large) (NN amount))) (PP (IN of) (NP (NN rain)))))) 
oceans cover most of earth s surface  & (S (NP (NNPS oceans)) (VP (VBP cover) (NP (NP (JJS most)) (PP (IN of) (NP (NN earth) (NNP s) (NN surface)))))) 
solar energy likely harms the environment the least  & (S (NP (JJ solar) (NN energy)) (ADVP (RB likely)) (VP (VBZ harms) (NP (DT the) (NN environment)) (NP (DT the) (JJS least)))) 
a board is a kind of object  & (S (NP (DT a) (NN board)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN object)))))) 
trees are a kind of resource  & (S (NP (NNS trees)) (VP (VBP are) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN resource)))))) 
an electrical device uses alternative fuel to operate  & (S (NP (DT an) (JJ electrical) (NN device)) (VP (VBZ uses) (NP (JJ alternative) (NN fuel)) (S (VP (TO to) (VP (VB operate)))))) 
the vibration of molecules can cause sound wave  & (S (NP (NP (DT the) (NN vibration)) (PP (IN of) (NP (NNS molecules)))) (VP (MD can) (VP (VB cause) (NP (JJ sound) (NN wave))))) 
algae an sunlight often can only be found in the top 100 meters of the ocean  & (S (NP (NP (NN algae)) (NP (DT an) (NN sunlight))) (ADVP (RB often)) (VP (MD can) (ADVP (RB only)) (VP (VB be) (VP (VBN found) (PP (IN in) (NP (NP (DT the) (JJ top) (CD 100) (NNS meters)) (PP (IN of) (NP (DT the) (NN ocean))))))))) 
using aluminum cans to make a new object is an example of recycling  & (S (S (VP (VBG using) (NP (NN aluminum) (NNS cans)) (S (VP (TO to) (VP (VB make) (NP (DT a) (JJ new) (NN object))))))) (VP (VBZ is) (NP (NP (DT an) (NN example)) (PP (IN of) (NP (NN recycling)))))) 
atomic number is determined by the proton number of an atom  & (S (NP (JJ atomic) (NN number)) (VP (VBZ is) (VP (VBN determined) (PP (IN by) (NP (NP (DT the) (NNP proton) (NN number)) (PP (IN of) (NP (DT an) (NN atom)))))))) 
revolution can be used to describe the earth revolving around the sun  & (S (NP (NN revolution)) (VP (MD can) (VP (VB be) (VP (VBN used) (S (VP (TO to) (VP (VB describe) (NP (NP (DT the) (NN earth)) (VP (VBG revolving) (PP (IN around) (NP (DT the) (NN sun)))))))))))) 
vinegar is a kind of solution of acetic acid and water  & (S (NP (NNP vinegar)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NP (NN solution)) (PP (IN of) (NP (NP (JJ acetic) (NN acid)) (CC and) (NP (NN water))))))))) 
carbon dioxide is a kind of gas  & (S (NP (NN carbon) (NN dioxide)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN gas)))))) 
x  ray is a kind of ionizing radiation  & (S (NP (LS x) (NN ray)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (VBG ionizing) (NN radiation)))))) 
surface mining removes the vegetation above the coal  & (S (NP (NN surface) (NN mining)) (VP (VBZ removes) (NP (NP (DT the) (NN vegetation)) (PP (IN above) (NP (DT the) (NN coal)))))) 
wood is a kind of biomass  & (S (NP (NN wood)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN biomass)))))) 
gravitational fore is a kind of non  contact force  & (S (NP (NNP gravitational) (NNP fore)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (AFX non) (NN contact) (NN force)))))) 
a hot plate is a source of heat  & (S (NP (DT a) (JJ hot) (NN plate)) (VP (VBZ is) (NP (NP (DT a) (NN source)) (PP (IN of) (NP (NN heat)))))) 
a wagon is a kind of object  & (S (NP (DT a) (NN wagon)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN object)))))) 
replacement of materials requires using money to buy new materials  & (S (NP (NP (NN replacement)) (PP (IN of) (NP (NNS materials)))) (VP (VBZ requires) (S (VP (VBG using) (NP (NN money)) (S (VP (TO to) (VP (VB buy) (NP (JJ new) (NNS materials))))))))) 
the water will freeze in the freezer  & (S (NP (DT the) (NN water)) (VP (MD will) (VP (VB freeze) (PP (IN in) (NP (DT the) (NN freezer)))))) 
the ocean contains large amounts of salt water  & (S (NP (DT the) (NN ocean)) (VP (VBZ contains) (NP (NP (JJ large) (NNS amounts)) (PP (IN of) (NP (NN salt) (NN water)))))) 
plants can decrese the nutrients in soil  & (S (NP (NNS plants)) (VP (MD can) (VP (VB decrese) (NP (NP (DT the) (NNS nutrients)) (PP (IN in) (NP (NN soil))))))) 
nutrients are a kind of resource  & (S (NP (NNS nutrients)) (VP (VBP are) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN resource)))))) 
a mineral is a kind of solid material  & (S (NP (DT a) (NN mineral)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ solid) (NN material)))))) 
starlings successfully compete for resources by taking over the nests of other birds  & (S (NP (NNS starlings)) (VP (ADVP (RB successfully)) (VBP compete) (PP (IN for) (NP (NNS resources))) (PP (IN by) (S (VP (VBG taking) (PRT (RP over)) (NP (NP (DT the) (NNS nests)) (PP (IN of) (NP (JJ other) (NNS birds))))))))) 
decomposers make fertile soil by adding nitrogen to soil  & (S (NP (NNS decomposers)) (VP (VBP make) (NP (JJ fertile) (NN soil)) (PP (IN by) (S (VP (VBG adding) (NP (NN nitrogen)) (PP (TO to) (NP (VB soil)))))))) 
rocks often contain large amounts of metal  & (S (NP (NNS rocks)) (ADVP (RB often)) (VBP contain) (NP (NP (JJ large) (NNS amounts)) (PP (IN of) (NP (NN metal))))) 
coal is used for producing heat by burning  & (S (NP (NN coal)) (VP (VBZ is) (VP (VBN used) (PP (IN for) (S (VP (S (VP (VBG producing) (NP (NN heat)))) (PP (IN by) (S (VP (VBG burning)))))))))) 
electromagnetic waves cause a buzzing sound by distorting the frequency of the radio waves  & (S (NP (JJ electromagnetic) (NNS waves)) (VP (VBP cause) (NP (DT a) (NN buzzing) (NN sound)) (PP (IN by) (S (VP (VBG distorting) (NP (NP (DT the) (NN frequency)) (PP (IN of) (NP (DT the) (NN radio) (NNS waves))))))))) 
sound can occur in an area  & (S (NP (NNP sound)) (VP (MD can) (VP (VB occur) (PP (IN in) (NP (DT an) (NN area)))))) 
sound means sound energy  & (S (NP (NNP sound)) (VP (VBZ means) (NP (JJ sound) (NN energy)))) 
as the number of predators in a lake decreases the number of prey will decrease in that lake  & (SBAR (IN as) (S (NP (NP (DT the) (NN number)) (PP (IN of) (NP (NNS predators))) (PP (IN in) (NP (DT a) (NN lake)))) (VP (VBZ decreases) (NP (NP (DT the) (NN number)) (PP (IN of) (NP (NN prey)))) (MD will) (VP (VB decrease) (PP (IN in) (NP (DT that) (NN lake))))))) 
photosynthesis uses carbon dioxide to make food for a plant  & (S (NP (NN photosynthesis)) (VP (VBZ uses) (NP (NN carbon) (NN dioxide)) (S (VP (TO to) (VP (VB make) (NP (NN food)) (PP (IN for) (NP (DT a) (NN plant)))))))) 
to blend into something means to be difficult to see in something  & (S (VP (TO to) (VP (VB blend) (IN into) (NP (NN something)) (VBZ means) (S (VP (TO to) (VP (VB be) (JJ difficult) (S (VP (TO to) (VP (VB see) (PP (IN in) (NP (NN something)))))))))))) 
notebook paper is a kind of paper  & (S (NP (NNP notebook) (NNP paper)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN paper)))))) 
as the amount of heat energy of a substance increases the amount of kinetic energy will increase  & (SBAR (IN as) (S (NP (NP (DT the) (NN amount)) (PP (IN of) (NP (NP (NN heat) (NN energy)) (PP (IN of) (NP (DT a) (NN substance)))))) (VP (VBZ increases) (NP (NP (DT the) (NN amount)) (PP (IN of) (NP (JJ kinetic) (NN energy)))) (VP (MD will) (VP (VB increase)))))) 
if a person is lost at sea they need to direct themselves to the shore  & (S (SBAR (IN if) (S (NP (DT a) (NN person)) (VP (VBZ is) (VP (VBN lost) (PP (IN at) (NP (NN sea))))))) (NP (PRP they)) (VP (VBP need) (S (VP (TO to) (VP (VB direct) (NP (PRP themselves)) (PP (IN to) (NP (DT the) (NN shore)))))))) 
a fish is a kind of organism that lives in ponds  & (S (NP (DT a) (NN fish)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (IN of) (NP (NN organism)) (SBAR (WHNP (WDT that)) (S (VP (VBZ lives) (PP (IN in) (NP (NNS ponds))))))))) 
irrigation requires water use  & (S (NP (NN irrigation)) (VP (VBZ requires) (NP (NN water) (NN use)))) 
hydrogen can be found in organic compounds  & (S (NP (NN hydrogen)) (VP (MD can) (VP (VB be) (VP (VBN found) (PP (IN in) (NP (JJ organic) (NNS compounds))))))) 
many animals blend in with their environment to not be seen by predators  & (S (NP (JJ many) (NNS animals)) (VP (VBP blend) (PRT (RP in)) (PP (IN with) (NP (PRP$ their) (NN environment))) (TO to) (RB not) (VP (VB be) (VP (VBN seen) (PP (IN by) (NP (NNS predators))))))) 
water is a part of an environment that contains dissolved oxygen  & (S (NP (NN water)) (VP (VBZ is) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (NP (DT an) (NN environment)) (SBAR (WHNP (WDT that)) (S (VP (VBZ contains) (NP (JJ dissolved) (NN oxygen)))))))))) 
erosion is a kind of physical weathering  & (S (NP (NN erosion)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ physical) (NN weathering)))))) 
matter in the liquid phase has definite volume and variable shape  & (S (NP (NP (NNP matter)) (PP (IN in) (NP (DT the) (JJ liquid) (NN phase)))) (VP (VBZ has) (NP (NP (JJ definite) (NN volume)) (CC and) (NP (JJ variable) (NN shape))))) 
touching something means feeling that something  & (S (NP (JJ touching) (NN something)) (VBZ means) (S (VP (VBG feeling) (IN that) (NP (NN something))))) 
the arctic is a kind of environment  & (S (NP (DT the) (NNP arctic)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN environment)))))) 
female birds sit in nests  & (S (NP (JJ female) (NNS birds)) (VP (VBP sit) (PP (IN in) (NP (NNS nests))))) 
an oven is a kind of electrical device  & (S (NP (DT an) (NN oven)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ electrical) (NN device)))))) 
the Earth being tilted on its rotating axis causes seasons  & (S (NP (DT the) (NNP Earth)) (VP (VP (VBG being) (VP (VBN tilted) (PP (IN on) (NP (PRP$ its) (VBG rotating) (NNP axis))))) (VP (VBZ causes) (NP (NNS seasons))))) 
terraces prevent soil erosion on a slope  & (S (NP (NNS terraces)) (VP (VBP prevent) (NP (NP (NN soil) (NN erosion)) (PP (IN on) (NP (DT a) (NN slope)))))) 
if use of a nonrenewable resources increases then the nonrenewable resource will be depleted  & (SBAR (IN if) (NP (NP (NN use)) (PP (IN of) (NP (DT a) (JJ nonrenewable) (NNS resources) (NNS increases)))) (ADVP (RB then)) (NP (DT the) (JJ nonrenewable) (NN resource)) (VP (MD will) (VP (VB be) (VP (VBN depleted))))) 
definite is the opposite of variable  & (S (NP (NNP definite)) (VP (VBZ is) (NP (NP (DT the) (NN opposite)) (PP (IN of) (NP (NN variable)))))) 
An example of a chemical property is the elements making up a compound  & (S (NP (NP (DT An) (NN example)) (PP (IN of) (NP (DT a) (JJ chemical) (NN property)))) (VP (VBZ is) (NP (NP (DT the) (NNS elements)) (VP (VBG making) (PRT (RP up)) (NP (DT a) (NN compound)))))) 
igneous rocks are formed by lava cooling  & (S (NP (JJ igneous) (NNS rocks)) (VP (VBP are) (VP (VBN formed) (PP (IN by) (NP (NN lava) (NN cooling)))))) 
if something is stuck then it can be caught more easily  & (S (SBAR (IN if) (S (NP (NN something)) (VP (VBZ is) (VP (VBN stuck))))) (ADVP (RB then)) (NP (PRP it)) (VP (MD can) (VP (VB be) (VP (VBN caught) (ADVP (RBR more) (RB easily)))))) 
timber companies cut down trees  & (S (NP (NN timber) (NNS companies)) (VP (VBD cut) (PRT (RP down)) (NP (NNS trees)))) 
electricity is a kind of power  & (S (NP (NN electricity)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN power)))))) 
Boston is a city that is near to the coast of the Atlantic Ocean  & (S (NP (NNP Boston)) (VP (VBZ is) (NP (NP (DT a) (NN city)) (SBAR (WHNP (WDT that)) (S (VP (VBZ is) (JJ near) (PP (IN to) (NP (NP (DT the) (NN coast)) (PP (IN of) (NP (DT the) (NNP Atlantic) (NNP Ocean))))))))))) 
as the resistance on the object to move increase the object will move slower  & (SBAR (IN as) (S (NP (NP (DT the) (NN resistance)) (IN on) (NP (DT the) (NN object)) (S (VP (TO to) (VP (VB move) (VP (VB increase))) (NP (DT the) (NN object))))) (VP (MD will) (VP (VB move) (ADVP (RBR slower)))))) 
that mineral is mica  & (S (NP (DT that) (NN mineral)) (VP (VBZ is) (NP (NNP mica)))) 
coloration means a thing s color  & (S (NP (NN coloration)) (VP (VBZ means) (NP (DT a) (NN thing) (POS s) (NN color)))) 
waves are made of moving water  & (S (NP (NNS waves)) (VP (VBP are) (VP (VBN made) (PP (IN of) (NP (VBG moving) (NN water)))))) 
Earth is located in the Milky Way Galaxy  & (S (NP (NNP Earth)) (VP (VBZ is) (VP (VBN located) (PP (IN in) (NP (DT the) (NNP Milky) (NNP Way) (NNP Galaxy)))))) 
a leaf makes food for the plant by performing photosynthesis  & (S (NP (DT a) (NN leaf)) (VP (VBZ makes) (NP (NP (NN food)) (PP (IN for) (NP (DT the) (NN plant)))) (PP (IN by) (S (VP (VBG performing) (NP (NN photosynthesis))))))) 
sound is a kind of sound energy  & (S (NP (NNP sound)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ sound) (NN energy)))))) 
an example of camouflage is an animal having white fur in the snow  & (S (NP (NP (DT an) (NN example)) (PP (IN of) (NP (NN camouflage)))) (VP (VBZ is) (NP (NP (DT an) (NN animal)) (VP (VBG having) (NP (NP (JJ white) (NN fur)) (PP (IN in) (NP (DT the) (NN snow)))))))) 
oxygen can be found in air  & (S (NP (NN oxygen)) (VP (MD can) (VP (VB be) (VP (VBN found) (PP (IN in) (NP (NN air))))))) 
polar bears live in cold environments  & (S (NP (JJ polar) (NNS bears)) (VP (VBP live) (PP (IN in) (NP (JJ cold) (NNS environments))))) 
if a base is added to a solution then the solution becomes less acidic  & (S (SBAR (IN if) (S (NP (DT a) (NN base)) (VP (VBZ is) (VP (VBN added) (PP (IN to) (NP (DT a) (NN solution))))))) (RB then) (NP (DT the) (NN solution)) (VP (VBZ becomes) (ADJP (RBR less) (JJ acidic)))) 
waves usually can not travel through a vacuum  & (S (NP (NNS waves)) (ADVP (RB usually)) (MD can) (RB not) (VP (VB travel) (PP (IN through) (NP (DT a) (NN vacuum))))) 
having a positive impact on something helps that something  & (S (S (VP (VBG having) (NP (NP (DT a) (JJ positive) (NN impact)) (PP (IN on) (NP (NN something)))))) (VP (VBZ helps) (NP (DT that) (NN something)))) 
organisms can be found in their habitats  & (S (NP (NNS organisms)) (VP (MD can) (VP (VB be) (VP (VBN found) (PP (IN in) (NP (PRP$ their) (NNS habitats))))))) 
basalt is a kind of igneous rock  & (S (NP (NNP basalt)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ igneous) (NN rock)))))) 
black objects absorb the most amount of sunlight  & (S (NP (JJ black) (NNS objects)) (VP (VBP absorb) (NP (NP (DT the) (JJS most) (NN amount)) (PP (IN of) (NP (NN sunlight)))))) 
a source of heat can be used to heat something  & (S (NP (NP (DT a) (NN source)) (PP (IN of) (NP (NN heat)))) (VP (MD can) (VP (VB be) (VP (VBN used) (S (VP (TO to) (VP (VB heat) (NP (NN something))))))))) 
a prism is used for refracting light  & (S (NP (DT a) (NN prism)) (VP (VBZ is) (VP (VBN used) (PP (IN for) (S (VP (VBG refracting) (NP (NN light)))))))) 
the chemical symbol for argon is ar  & (S (NP (NP (DT the) (NNP chemical) (NN symbol)) (PP (IN for) (NP (NNP argon)))) (VP (VBZ is) (PP (IN ar)))) 
if something has a negative impact on another thing then the relationship is harmful  & (S (SBAR (IN if) (S (NP (NN something)) (VP (VBZ has) (NP (NP (DT a) (JJ negative) (NN impact)) (PP (IN on) (NP (DT another) (NN thing))))))) (RB then) (NP (DT the) (NN relationship)) (VP (VBZ is) (ADJP (JJ harmful)))) 
leather is a kind of natural resource  & (S (NP (NN leather)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ natural) (NN resource)))))) 
aurora is a kind of atmospheric phenomena  & (S (NP (NNP aurora)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ atmospheric) (NNS phenomena)))))) 
producing a bad odor helps skunks avoid predators  & (S (S (VP (VBG producing) (NP (DT a) (JJ bad) (NN odor)))) (VP (VBZ helps) (S (NP (VB skunks)) (VP (VB avoid) (NP (NNS predators)))))) 
a brain is a kind of internal organ  & (S (NP (DT a) (NN brain)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ internal) (NN organ)))))) 
elements that belong to alkaline earth metals are highly chemically reactive  & (S (NP (NP (NNS elements)) (SBAR (WHNP (WDT that)) (S (VP (VBP belong) (PP (TO to) (NP (VB alkaline) (NN earth) (NNS metals))))))) (VP (VBP are) (ADJP (RB highly) (RB chemically) (JJ reactive)))) 
if an organism passes on its traits then future generations will have those traits  & (S (SBAR (IN if) (S (NP (DT an) (NN organism)) (VP (VBZ passes) (PP (IN on) (NP (PRP$ its) (NNS traits)))))) (RB then) (NP (JJ future) (NNS generations)) (VP (MD will) (VP (VB have) (NP (DT those) (NNS traits))))) 
a flower is a kind of plant  & (S (NP (DT a) (NN flower)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN plant)))))) 
an acorn is a kind of seed  & (S (NP (DT an) (NN acorn)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN seed)))))) 
a liver cell is a kind of somatic cell  & (S (NP (DT a) (JJ liver) (NN cell)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ somatic) (NN cell)))))) 
wood is a light material  & (S (NP (NN wood)) (VP (VBZ is) (NP (DT a) (JJ light) (NN material)))) 
reproduction is when an organism passes genetic information from itself to its offspring  & (S (NP (NN reproduction)) (VP (VBZ is) (SBAR (WHADVP (WRB when)) (S (NP (DT an) (NN organism)) (VP (VBZ passes) (NP (JJ genetic) (NN information)) (PP (IN from) (NP (PRP itself))) (PP (IN to) (NP (PRP$ its) (NN offspring)))))))) 
a pioneer organism requires the ability to be resistant to disturbances  & (S (NP (DT a) (NN pioneer) (NN organism)) (VP (VBZ requires) (NP (DT the) (NN ability) (S (VP (TO to) (VP (VB be) (ADJP (JJ resistant) (PP (IN to) (NP (NNS disturbances)))))))))) 
december is during the summer in the southern hemisphere  & (S (NP (NNP december)) (VP (VBZ is) (PP (PP (IN during) (NP (DT the) (NN summer))) (PP (IN in) (NP (DT the) (JJ southern) (NN hemisphere)))))) 
gills are a part of a fish  & (S (NP (NNS gills)) (VP (VBP are) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (DT a) (NN fish)))))) 
the bowling ball falls onto the floor  & (S (NP (DT the) (NN bowling) (NN ball)) (VP (VBZ falls) (PP (IN onto) (NP (DT the) (NN floor))))) 
there is a sound wave with large amplitude  & (S (NP (EX there)) (VP (VBZ is) (NP (NP (DT a) (JJ sound) (NN wave)) (PP (IN with) (NP (JJ large) (NN amplitude)))))) 
mercury is made of mercury atoms  & (S (NP (NNP mercury)) (VP (VBZ is) (VP (VBN made) (PP (IN of) (NP (NN mercury) (NNS atoms)))))) 
as the population of plants decreases carbon in the atmosphere will increase  & (S (IN as) (S (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNS plants)))) (VP (VBZ decreases) (NP (NP (NN carbon)) (PP (IN in) (NP (DT the) (NN atmosphere)))))) (VP (MD will) (VP (VB increase)))) 
antarctica is a kind of desert  & (S (NP (NNP antarctica)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN desert)))))) 
an example of navigation is directing a boat  & (S (NP (NP (DT an) (NN example)) (PP (IN of) (NP (NN navigation)))) (VBZ is) (VP (VBG directing) (NP (DT a) (NN boat)))) 
equal numbers of protons and electrons and any number of neutrons result in a neutral 0 electric charge  & (S (NP (NP (NP (JJ equal) (NNS numbers)) (PP (IN of) (NP (NP (NNS protons)) (CC and) (NNS electrons)))) (CC and) (NP (NP (DT any) (NN number)) (PP (IN of) (NP (NNS neutrons))))) (VP (VBP result) (PP (IN in) (NP (DT a) (JJ neutral) (CD 0) (JJ electric) (NN charge))))) 
variation means variety  & (S (NP (NN variation)) (VP (VBZ means) (NP (NN variety)))) 
moving faster is a kind of method for moving better  & (S (S (VP (VBG moving) (ADVP (RBR faster)))) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN method))) (PP (IN for) (S (VP (VBG moving) (ADVP (RBR better)))))))) 
March is cold in temperature in northern hemisphere  & (S (NP (NNP March)) (VP (VBZ is) (ADJP (JJ cold)) (PP (IN in) (NP (NN temperature))) (PP (IN in) (NP (JJ northern) (NN hemisphere))))) 
a melting point is a temperature  & (S (NP (DT a) (NN melting) (NN point)) (VP (VBZ is) (NP (DT a) (NN temperature)))) 
photosynthesis increases the amount of oxygen in the atmosphere  & (S (NP (NN photosynthesis)) (VP (VBZ increases) (NP (NP (DT the) (NN amount)) (PP (IN of) (NP (NN oxygen))) (PP (IN in) (NP (DT the) (NN atmosphere)))))) 
salt is the solute  & (S (NP (NN salt)) (VP (VBZ is) (NP (DT the) (NN solute)))) 
it is summer in southern hemisphere  & (S (NP (PRP it)) (VP (VBZ is) (NP (NN summer)) (PP (IN in) (NP (JJ southern) (NN hemisphere))))) 
identical twins have all of the same inherited characteristics  & (S (NP (JJ identical) (NNS twins)) (VP (VBP have) (NP (NP (DT all)) (PP (IN of) (NP (DT the) (JJ same) (VBN inherited) (NNS characteristics)))))) 
as the size of the star increases the light will appear brighter  & (SBAR (IN as) (S (NP (NP (DT the) (NN size)) (PP (IN of) (NP (DT the) (NN star)))) (VP (VBZ increases) (NP (DT the) (NN light)) (VP (MD will) (VP (VB appear) (ADJP (JJR brighter))))))) 
a planet is a kind of place  & (S (NP (DT a) (NN planet)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN place)))))) 
fossil fuels are a kind of energy resource  & (S (NP (JJ fossil) (NNS fuels)) (VP (VBP are) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN energy) (NN resource)))))) 
investigating something requires investigating the properties of something  & (S (S (VP (VBG investigating) (NP (NN something)))) (VP (VBZ requires) (S (VP (VBG investigating) (NP (NP (DT the) (NNS properties)) (PP (IN of) (NP (NN something)))))))) 
a sign of something is evidence of that something  & (S (NP (NP (DT a) (NN sign)) (PP (IN of) (NP (NN something)))) (VP (VBZ is) (NP (NP (NN evidence)) (PP (IN of) (NP (DT that) (NN something)))))) 
a particle is a kind of object  & (S (NP (DT a) (NN particle)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN object)))))) 
as the population of a species increases the overcrowding of that species will increase  & (S (IN as) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (DT a) (NN species)))) (VP (VBZ increases) (NP (NP (DT the) (NN overcrowding)) (PP (IN of) (NP (DT that) (NNS species)))) (VP (MD will) (VP (VB increase))))) 
sedimentary rocks are formed by sediment compacting together  & (S (NP (JJ sedimentary) (NNS rocks)) (VP (VBP are) (VP (VBN formed) (PP (IN by) (NP (NP (NN sediment)) (VP (VBG compacting) (ADVP (RB together)))))))) 
the asteroid belt that contains the largest concentration of asteroids is located between mars and jupiter  & (S (NP (NP (DT the) (NNP asteroid) (NN belt)) (SBAR (WHNP (WDT that)) (S (VP (VBZ contains) (NP (NP (DT the) (JJS largest) (NN concentration)) (PP (IN of) (NP (NNS asteroids)))))))) (VP (VBZ is) (VP (VBN located) (PP (IN between) (NP (NNP mars) (CC and) (NP (NNP jupiter))))))) 
different soil content causes the color of soil to be different  & (S (NP (JJ different) (NN soil) (NN content)) (VP (VBZ causes) (S (NP (NP (DT the) (NN color)) (PP (IN of) (NP (NN soil)))) (VP (TO to) (VP (VB be) (ADJP (JJ different))))))) 
elements from the same group on the periodic table are similar in chemical reactivity  & (S (NP (NP (NNS elements)) (PP (IN from) (NP (DT the) (JJ same) (NN group))) (PP (IN on) (NP (DT the) (JJ periodic) (NN table)))) (VBP are) (ADJP (JJ similar) (PP (IN in) (NP (JJ chemical) (NN reactivity))))) 
amount of daylight means length of daylight  & (S (NP (NP (NN amount)) (PP (IN of) (NP (NN daylight)))) (VP (VBZ means) (NP (NP (NN length)) (PP (IN of) (NP (NN daylight)))))) 
plant parts are made of plants  & (S (NP (NN plant) (NNS parts)) (VP (VBP are) (VP (VBN made) (PP (IN of) (NP (NNS plants)))))) 
the water pipe freezing and cracking is an example of physical change  & (S (NP (DT the) (NN water) (NN pipe) (NN freezing) (CC and) (NN cracking)) (VP (VBZ is) (NP (NP (DT an) (NN example)) (PP (IN of) (NP (JJ physical) (NN change)))))) 
